id_no,client_zip_codes,organization,org_address1,org_address2,org_city,org_state,org_zip_code,org_telephone,org_coordinates,org_hours,hours_notes,assist_id,assistance,status_id,status,status_date,status_text,requirements,is_first_bold,is_first_red,webpage,googlemaps,org_email,org_county,zip_neighborhoods,org_parent,org_neighborhood
64,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77338"", ""77347"", ""77396""]",Avenue 360 Midtown,2920 Fannin Street,,Houston,TX,77002,713-341-3790,"29.742643, -95.375362","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""18:00""},{""days"":[""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,32,Medical - Dental & Vision,1,ACTIVE,01/26/2026,Verified online,"Dental
Dental services include oral medicine, crowns, dentures, treatment of gum disease, root canals and oral surgery.
Sliding fee scale for uninsured.",TRUE,FALSE,https://avenue360.org/,"https://www.google.com/maps/place/Avenue+360+Health+and+Wellness+-+Midtown/@29.6963641,-95.4153268,12z/data=!4m10!1m2!2m1!1sAvenue+360+Health+and+Wellness+near+Heights+Boulevard,+Houston,+TX!3m6!1s0x8640bfa1b8495303:0x7ac6fe0fcb31d78c!8m2!3d29.7425687!4d-95.3752492!15sCkJBdmVudWUgMzYwIEhlYWx0aCBhbmQgV2VsbG5lc3MgbmVhciBIZWlnaHRzIEJvdWxldmFyZCwgSG91c3RvbiwgVFgiA4gBAZIBDm1lZGljYWxfY2xpbmljqgGcAQoNL2cvMTFma3l5OWRzNhABKiIiHmF2ZW51ZSAzNjAgaGVhbHRoIGFuZCB3ZWxsbmVzcygAMh8QASIbuJzbXxv4vf3PNqnHCuhQerkE9J8UWRzGev8iMkQQAiJAYXZlbnVlIDM2MCBoZWFsdGggYW5kIHdlbGxuZXNzIG5lYXIgaGVpZ2h0cyBib3VsZXZhcmQgaG91c3RvbiB0eOABAA!16s%2Fg%2F11p5pzmbtf?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"Central Business District, Downtown Houston, East Downtown, South Central Houston, Theater District, University Place, Warehouse District",Avenue 360,South Central Houston
65,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77338"", ""77347"", ""77396""]",Avenue 360 Midtown,2920 Fannin Street,,Houston,TX,77002,713-341-3790,"29.742643, -95.375362","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""18:00""},{""days"":[""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,01/27/2026,Verified online,"Behavioral and psychiatric services adults and adolescents in individual and family and group settings.
Includes substance sue pre-treatment and treatment
Sliding fee scale for uninsured.",FALSE,FALSE,https://avenue360.org/,"https://www.google.com/maps/place/Avenue+360+Health+and+Wellness+-+Midtown/@29.6963641,-95.4153268,12z/data=!4m10!1m2!2m1!1sAvenue+360+Health+and+Wellness+near+Heights+Boulevard,+Houston,+TX!3m6!1s0x8640bfa1b8495303:0x7ac6fe0fcb31d78c!8m2!3d29.7425687!4d-95.3752492!15sCkJBdmVudWUgMzYwIEhlYWx0aCBhbmQgV2VsbG5lc3MgbmVhciBIZWlnaHRzIEJvdWxldmFyZCwgSG91c3RvbiwgVFgiA4gBAZIBDm1lZGljYWxfY2xpbmljqgGcAQoNL2cvMTFma3l5OWRzNhABKiIiHmF2ZW51ZSAzNjAgaGVhbHRoIGFuZCB3ZWxsbmVzcygAMh8QASIbuJzbXxv4vf3PNqnHCuhQerkE9J8UWRzGev8iMkQQAiJAYXZlbnVlIDM2MCBoZWFsdGggYW5kIHdlbGxuZXNzIG5lYXIgaGVpZ2h0cyBib3VsZXZhcmQgaG91c3RvbiB0eOABAA!16s%2Fg%2F11p5pzmbtf?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"Central Business District, Downtown Houston, East Downtown, South Central Houston, Theater District, University Place, Warehouse District",Avenue 360,South Central Houston
66,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77338"", ""77347"", ""77396""]",Avenue 360 Omega House Hospice,602 Branard Street,,Houston,TX,77006,713-523-7110,"29.7371658888889, -95.3870788787879","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr"",""Sa"",""Su""],""open"":""00:00"",""close"":""23:59""}]}",,31,Medical - Primary Care,1,ACTIVE,05/12/2025,Verified online,"Palliative medical care including bereavement services for the dying and loved ones.
Eight bed facility.
Ongoing medical.nursing care, emotional support and assistance with daily activities.",FALSE,FALSE,https://avenue360.org/,"https://www.google.com/maps/place/Omega+House+Inc/@29.7493709,-95.4271715,14z/data=!4m10!1m2!2m1!1sAvenue+360+omega+house!3m6!1s0x8640bf7b34918707:0xca52df43197d2b70!8m2!3d29.737315!4d-95.387145!15sChZBdmVudWUgMzYwIG9tZWdhIGhvdXNlIgOIAQGSAQdob3NwaWNlqgFqCg0vZy8xMWZreXk5ZHM2EAEqGiIWYXZlbnVlIDM2MCBvbWVnYSBob3VzZSgAMh8QASIbVSKfBN_lgTeTOV3_tjNAWct14vydLLzNZg8gMhoQAiIWYXZlbnVlIDM2MCBvbWVnYSBob3VzZeABAA!16s%2Fg%2F12601824t?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"Hyde Park, Montrose, South Central Houston",Avenue 360,Montrose
67,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77338"", ""77347"", ""77396""]",Avenue 360 Southwest,14095 South Main Street,,Houston,TX,77035,832-830-8345,"29.63302153514462, -95.49370860679693","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,01/27/2026,Verified online,"Affordable, quality medical care, pharmacy, behavioral health and support services.
Primary care, OB/GYN, pediatrics, screenings, immunizations, family planning, prenatal and postpartum care and mental health counseling.
Sliding fee scale for uninsured.",FALSE,FALSE,https://avenue360.org/,"https://www.google.com/maps/place/Avenue+360+Health+and+Wellness+-+Southwest/@29.7801026,-95.6992342,12z/data=!4m10!1m2!2m1!1sAvenue+360+Health+and+Wellness+near+Heights+Boulevard,+Houston,+TX!3m6!1s0x8640e943d63642a5:0xf712fbd78e3ecab0!8m2!3d29.6329936!4d-95.4937133!15sCkJBdmVudWUgMzYwIEhlYWx0aCBhbmQgV2VsbG5lc3MgbmVhciBIZWlnaHRzIEJvdWxldmFyZCwgSG91c3RvbiwgVFgiA4gBAZIBDm1lZGljYWxfY2xpbmljqgGcAQoNL2cvMTFma3l5OWRzNhABKiIiHmF2ZW51ZSAzNjAgaGVhbHRoIGFuZCB3ZWxsbmVzcygAMh8QASIbuJzbXxv4vf3PNqnHCuhQerkE9J8UWRzGev8iMkQQAiJAYXZlbnVlIDM2MCBoZWFsdGggYW5kIHdlbGxuZXNzIG5lYXIgaGVpZ2h0cyBib3VsZXZhcmQgaG91c3RvbiB0eOABAA!16s%2Fg%2F11j52d3cmk?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"Bellaire, Brays Oaks, Fondren Gardens, Westbury, Willow Meadows/ Willowbend Area, Willowbend",Avenue 360,Fondren Gardens
68,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77338"", ""77347"", ""77396""]",Avenue 360 Southwest,14095 South Main Street,,Houston,TX,77035,832-830-8345,"29.63302153514462, -95.49370860679693","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,32,Medical - Dental & Vision,1,ACTIVE,01/27/2026,Verified online,"Dental
Preventative dental care and x-rays.
Sliding fee scale for uninsured.",TRUE,FALSE,https://avenue360.org/,"https://www.google.com/maps/place/Avenue+360+Health+and+Wellness+-+Southwest/@29.7801026,-95.6992342,12z/data=!4m10!1m2!2m1!1sAvenue+360+Health+and+Wellness+near+Heights+Boulevard,+Houston,+TX!3m6!1s0x8640e943d63642a5:0xf712fbd78e3ecab0!8m2!3d29.6329936!4d-95.4937133!15sCkJBdmVudWUgMzYwIEhlYWx0aCBhbmQgV2VsbG5lc3MgbmVhciBIZWlnaHRzIEJvdWxldmFyZCwgSG91c3RvbiwgVFgiA4gBAZIBDm1lZGljYWxfY2xpbmljqgGcAQoNL2cvMTFma3l5OWRzNhABKiIiHmF2ZW51ZSAzNjAgaGVhbHRoIGFuZCB3ZWxsbmVzcygAMh8QASIbuJzbXxv4vf3PNqnHCuhQerkE9J8UWRzGev8iMkQQAiJAYXZlbnVlIDM2MCBoZWFsdGggYW5kIHdlbGxuZXNzIG5lYXIgaGVpZ2h0cyBib3VsZXZhcmQgaG91c3RvbiB0eOABAA!16s%2Fg%2F11j52d3cmk?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"Bellaire, Brays Oaks, Fondren Gardens, Westbury, Willow Meadows/ Willowbend Area, Willowbend",Avenue 360,Fondren Gardens
69,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77338"", ""77347"", ""77396""]",Avenue 360 Southwest,14095 South Main Street,,Houston,TX,77035,832-830-8345,"29.63302153514462, -95.49370860679693","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,01/27/2026,Verified online,"Behavioral and psychiatric services adults and adolescents in individual and family and group settings.
Includes substance sue pre-treatment and treatment
Sliding fee scale for uninsured.",FALSE,FALSE,https://avenue360.org/,"https://www.google.com/maps/place/Avenue+360+Health+and+Wellness+-+Southwest/@29.7801026,-95.6992342,12z/data=!4m10!1m2!2m1!1sAvenue+360+Health+and+Wellness+near+Heights+Boulevard,+Houston,+TX!3m6!1s0x8640e943d63642a5:0xf712fbd78e3ecab0!8m2!3d29.6329936!4d-95.4937133!15sCkJBdmVudWUgMzYwIEhlYWx0aCBhbmQgV2VsbG5lc3MgbmVhciBIZWlnaHRzIEJvdWxldmFyZCwgSG91c3RvbiwgVFgiA4gBAZIBDm1lZGljYWxfY2xpbmljqgGcAQoNL2cvMTFma3l5OWRzNhABKiIiHmF2ZW51ZSAzNjAgaGVhbHRoIGFuZCB3ZWxsbmVzcygAMh8QASIbuJzbXxv4vf3PNqnHCuhQerkE9J8UWRzGev8iMkQQAiJAYXZlbnVlIDM2MCBoZWFsdGggYW5kIHdlbGxuZXNzIG5lYXIgaGVpZ2h0cyBib3VsZXZhcmQgaG91c3RvbiB0eOABAA!16s%2Fg%2F11j52d3cmk?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"Bellaire, Brays Oaks, Fondren Gardens, Westbury, Willow Meadows/ Willowbend Area, Willowbend",Avenue 360,Fondren Gardens
70,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77338"", ""77347"", ""77396""]",Avenue 360 Spring Cypress,17010 Sugar Pine Drive,,Houston,TX,77090,281-537-8627,"30.0099537989029, -95.4592233211423","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,01/27/2026,Verified online,"Affordable, quality medical care, pharmacy, behavioral health and support services.
Primary care, gynecological care, family planning, prenatal care, screenings, immunizations, pharmacy and mental health counseling.
Sliding fee scale for uninsured.",FALSE,FALSE,https://avenue360.org/,"https://www.google.com/maps/place/Avenue+360+Health+and+Wellness+-+Spring%2FCypress/@30.0107658,-95.6120224,12z/data=!4m10!1m2!2m1!1sAvenue+360+Health+and+Wellness+near+Heights+Boulevard,+Houston,+TX!3m6!1s0x8640cbfaca5e8d87:0x2ef9a4f98f837e18!8m2!3d30.0107658!4d-95.4595871!15sCkJBdmVudWUgMzYwIEhlYWx0aCBhbmQgV2VsbG5lc3MgbmVhciBIZWlnaHRzIEJvdWxldmFyZCwgSG91c3RvbiwgVFgiA4gBAZIBDm1lZGljYWxfY2xpbmljqgGcAQoNL2cvMTFma3l5OWRzNhABKiIiHmF2ZW51ZSAzNjAgaGVhbHRoIGFuZCB3ZWxsbmVzcygAMh8QASIbuJzbXxv4vf3PNqnHCuhQerkE9J8UWRzGev8iMkQQAiJAYXZlbnVlIDM2MCBoZWFsdGggYW5kIHdlbGxuZXNzIG5lYXIgaGVpZ2h0cyBib3VsZXZhcmQgaG91c3RvbiB0eOABAA!16s%2Fg%2F11g0kf2978?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"Cypress Station, Ella Crossing, Westador",Avenue 360,Cypress Station
71,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77053"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77338"", ""77347"", ""77396""]",Avenue 360 Spring Cypress,17010 Sugar Pine Drive,,Houston,TX,77090,281-537-8627,"30.0099537989029, -95.4592233211423","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,01/27/2026,Verified online,"Behavioral and psychiatric services adults and adolescents in individual and family and group settings.
Includes substance sue pre-treatment and treatment
Sliding fee scale for uninsured.",FALSE,FALSE,https://avenue360.org/,"https://www.google.com/maps/place/Avenue+360+Health+and+Wellness+-+Spring%2FCypress/@30.0107658,-95.6120224,12z/data=!4m10!1m2!2m1!1sAvenue+360+Health+and+Wellness+near+Heights+Boulevard,+Houston,+TX!3m6!1s0x8640cbfaca5e8d87:0x2ef9a4f98f837e18!8m2!3d30.0107658!4d-95.4595871!15sCkJBdmVudWUgMzYwIEhlYWx0aCBhbmQgV2VsbG5lc3MgbmVhciBIZWlnaHRzIEJvdWxldmFyZCwgSG91c3RvbiwgVFgiA4gBAZIBDm1lZGljYWxfY2xpbmljqgGcAQoNL2cvMTFma3l5OWRzNhABKiIiHmF2ZW51ZSAzNjAgaGVhbHRoIGFuZCB3ZWxsbmVzcygAMh8QASIbuJzbXxv4vf3PNqnHCuhQerkE9J8UWRzGev8iMkQQAiJAYXZlbnVlIDM2MCBoZWFsdGggYW5kIHdlbGxuZXNzIG5lYXIgaGVpZ2h0cyBib3VsZXZhcmQgaG91c3RvbiB0eOABAA!16s%2Fg%2F11g0kf2978?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",,Harris,"Cypress Station, Ella Crossing, Westador",Avenue 360,Cypress Station
72,"[""99999""]",BakerRipley,4450 Harrisburg Blvd,Suite 200,Houston,TX,77011,713-590-2327,"29.7440270408163, -95.3318197346939","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""12:00""}]}","Apply online Monday, March 9th",12,Utilities,1,ACTIVE,02/26/2026,"Next round opens March 9th, 2026","Applications open for first 4000 on Monday, March 9th
For residents of Harris, Galveston and Brazoria counties.
US Citizens/Permanent Residents.
Proof of income for the last 30 days for each household member 18 years or older
Limited to utility companies with whom BakerRipley has an executed vendor agreement. 
Meet the US Department of Health and Human Services Income Guidelines.
Proof of identity for all household members and current electricity, gas or propane bill.
One application per household and address per calendar year.",TRUE,TRUE,https://bakerripley.org/programs-and-services/utility-assistance/,https://maps.google.com/?q=Baker%20Ripley%204450%20Harrisburg%20Blvd%20%23200%20Houston%20TX%2077011,,Harris,"Eastwood, Magnolia Park, Second Ward, South Central Houston",BakerRipley,South Central Houston
73,"[""77002"", ""77003"", ""77004"", ""77005"", ""77006"", ""77007"", ""77008"", ""77009"", ""77010"", ""77011"", ""77012"", ""77013"", ""77014"", ""77015"", ""77016"", ""77017"", ""77018"", ""77019"", ""77020"", ""77021"", ""77022"", ""77023"", ""77024"", ""77025"", ""77026"", ""77027"", ""77028"", ""77029"", ""77030"", ""77031"", ""77032"", ""77033"", ""77034"", ""77035"", ""77036"", ""77037"", ""77038"", ""77039"", ""77040"", ""77041"", ""77042"", ""77043"", ""77044"", ""77045"", ""77046"", ""77047"", ""77048"", ""77049"", ""77050"", ""77051"", ""77054"", ""77055"", ""77056"", ""77057"", ""77058"", ""77059"", ""77060"", ""77061"", ""77062"", ""77063"", ""77064"", ""77065"", ""77066"", ""77067"", ""77068"", ""77069"", ""77070"", ""77071"", ""77072"", ""77073"", ""77074"", ""77075"", ""77076"", ""77077"", ""77078"", ""77079"", ""77080"", ""77081"", ""77082"", ""77083"", ""77084"", ""77085"", ""77086"", ""77087"", ""77088"", ""77089"", ""77090"", ""77091"", ""77092"", ""77093"", ""77094"", ""77095"", ""77096"", ""77098"", ""77099"", ""77242"", ""77257"", ""77277"", ""77279"", ""77336"", ""77338"", ""77339"", ""77345"", ""77346"", ""77347"", ""77357"", ""77365"", ""77373"", ""77375"", ""77377"", ""77379"", ""77383"", ""77387"", ""77388"", ""77389"", ""77393"", ""77396"", ""77401"", ""77410"", ""77429"", ""77433"", ""77447"", ""77449"", ""77450"", ""77484"", ""77493"", ""77501"", ""77502"", ""77503"", ""77504"", ""77505"", ""77506"", ""77507"", ""77508"", ""77520"", ""77521"", ""77530"", ""77532"", ""77535"", ""77536"", ""77546"", ""77547"", ""77562"", ""77571"", ""77581"", ""77586"", ""77587"", ""77598""]",BakerRipley,4450 Harrisburg Blvd,Suite 200,Houston,TX,77011,,"29.7440270408163, -95.3318197346939",,Apply online,65,Other,1,ACTIVE,07/21/2025,Verified online,"Weatherization Assistance Program
Dedicated mitigation team to reduce energy loss, leaks and drafts.  Improve insulation.
US Citizens/Permanent Residents.
Resident of Harris County & meet federal government guidelines
Proof of income.
IDs for household members.
Utility bill",FALSE,FALSE,https://bakerripley.org/programs-and-services/weatherization-assistance-program/,https://maps.google.com/?q=Baker%20Ripley%204450%20Harrisburg%20Blvd%20%23200%20Houston%20TX%2077011,,Harris,"Eastwood, Magnolia Park, Second Ward, South Central Houston",BakerRipley,South Central Houston
