id,query,filters,result_count,interpretation,created_at
11,eyeglasses and vision,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Vision and eyeglasses assistance resources"",""assistance_types"":[""Medical - Equipment""],""related_searches"":[""low cost eye exam"",""medical equipment help"",""vision care for low income""],""organization_name"":null,""requirements_keywords"":[""eyeglasses"",""vision"",""eye exam""]}",,Vision and eyeglasses assistance resources,2026-01-27 19:01:00.986278+00
12,medical equipment,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Medical equipment assistance resources"",""assistance_types"":[""Medical - Equipment""],""related_searches"":[""wheelchair donations"",""free medical supplies"",""mobility equipment help""],""organization_name"":null,""requirements_keywords"":null}",,Medical equipment assistance resources,2026-01-27 19:01:52.278076+00
13,vision and eyeglasses,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Resources for vision and eyeglasses assistance"",""assistance_types"":[""Medical - Equipment""],""related_searches"":[""free eye exam"",""low cost glasses"",""medical equipment help"",""vision care for seniors""],""organization_name"":null,""requirements_keywords"":[""vision"",""eyeglasses"",""glasses""]}",,Resources for vision and eyeglasses assistance,2026-01-27 19:02:24.211766+00
14,eyeglasses,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Resources for obtaining eyeglasses or vision equipment"",""assistance_types"":[""Medical - Equipment""],""related_searches"":[""medical equipment help"",""low cost glasses"",""vision care assistance""],""organization_name"":null,""requirements_keywords"":[""eyeglasses"",""vision"",""glasses""]}",,Resources for obtaining eyeglasses or vision equipment,2026-01-27 19:05:37.208115+00
15,veterans,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Resources and assistance for veterans"",""assistance_types"":null,""related_searches"":[""veteran housing help"",""medical services for veterans"",""job training for veterans""],""organization_name"":null,""requirements_keywords"":[""veteran""]}",,Resources and assistance for veterans,2026-01-27 19:06:49.43945+00
16,VA benefits,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Resources and benefits for veterans"",""assistance_types"":null,""related_searches"":[""veterans medical help"",""housing for veterans"",""job training veterans""],""organization_name"":null,""requirements_keywords"":[""veteran""]}",,Resources and benefits for veterans,2026-01-27 19:07:36.015547+00
17,housing for veterans,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Housing resources for veterans"",""assistance_types"":[""Housing"",""Medical - Housing""],""related_searches"":[""veteran medical help"",""homeless veteran services"",""job training for veterans""],""organization_name"":null,""requirements_keywords"":[""veteran""]}",,Housing resources for veterans,2026-01-27 19:07:48.48533+00
18,housing for veterans,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Housing resources specifically for veterans"",""assistance_types"":[""Housing""],""related_searches"":[""veteran support services"",""rent help for veterans"",""emergency housing veterans""],""organization_name"":null,""requirements_keywords"":[""veteran""]}",,Housing resources specifically for veterans,2026-01-27 19:07:55.142811+00
19,veteran support services,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Resources and support services for veterans"",""assistance_types"":null,""related_searches"":[""medical help for veterans"",""housing assistance veterans"",""job training for veterans""],""organization_name"":null,""requirements_keywords"":[""veteran""]}",,Resources and support services for veterans,2026-01-27 19:08:07.355843+00
20,veteran support services,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Resources and support services for veterans"",""assistance_types"":null,""related_searches"":[""veteran housing assistance"",""medical help for veterans"",""job training for veterans""],""organization_name"":null,""requirements_keywords"":[""veteran""]}",,Resources and support services for veterans,2026-01-27 19:08:13.493744+00
21,eye exam,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Resources for eye exams and vision care"",""assistance_types"":[""Medical - Primary Care""],""related_searches"":[""free eye exam"",""low-cost vision care"",""medical equipment for vision""],""organization_name"":null,""requirements_keywords"":null}",,Resources for eye exams and vision care,2026-01-27 20:03:03.697895+00
22,eye exam,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Eye examination resources"",""assistance_types"":[""Medical - Primary Care""],""related_searches"":[""low cost eye care"",""vision screening"",""optical services"",""medical equipment for vision""],""organization_name"":null,""requirements_keywords"":null}",,Eye examination resources,2026-01-27 20:06:42.161263+00
23,eye exams in downtown houston,"{""city"":""Houston"",""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":""Downtown"",""interpretation"":""Eye exam resources in Downtown Houston"",""assistance_types"":[""Medical - Primary Care""],""related_searches"":[""low cost eye care"",""vision screening near me"",""medical assistance downtown""],""organization_name"":null,""requirements_keywords"":[""eye exam"",""vision""]}",,Eye exam resources in Downtown Houston,2026-01-27 20:25:27.795669+00
24,vision,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Resources related to vision assistance or eye care"",""assistance_types"":null,""related_searches"":[""eye exam help"",""glasses for low income"",""medical equipment for vision""],""organization_name"":null,""requirements_keywords"":[""vision""]}",,Resources related to vision assistance or eye care,2026-01-27 20:44:02.227724+00
25,"food pantry ","{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Food pantry assistance resources"",""assistance_types"":[""Food""],""related_searches"":[""food bank open Saturday"",""groceries near me"",""food assistance for families""],""organization_name"":null,""requirements_keywords"":null}",,Food pantry assistance resources,2026-01-29 19:23:32.879674+00
26,mortgage,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Housing resources related to mortgage assistance"",""geocode_address"":null,""assistance_types"":[""Housing""],""related_searches"":[""rent help"",""home buying resources"",""housing assistance programs""],""organization_name"":null,""requirements_keywords"":null}",,Housing resources related to mortgage assistance,2026-01-30 17:53:58.041448+00
27,food pantry in downtown hosuton open on the weekend,"{""city"":""Houston"",""days"":[""Sa"",""Su""],""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":""Downtown"",""interpretation"":""Food pantries in Downtown Houston open on weekends"",""assistance_types"":[""Food""],""related_searches"":[""food bank saturday"",""groceries near me"",""meals for low income""],""organization_name"":null,""requirements_keywords"":null}",,Food pantries in Downtown Houston open on weekends,2026-02-01 08:47:11.885311+00
28,mattress,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Search for organizations that might provide mattress assistance"",""assistance_types"":null,""related_searches"":[""furniture help"",""housing resources"",""home essentials""],""organization_name"":null,""requirements_keywords"":[""low income"",""donation"",""free mattress""]}",,Search for organizations that might provide mattress assistance,2026-02-02 16:13:01.564127+00
29,"childcare ","{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Childcare and family support resources"",""assistance_types"":[""Mother & Child""],""related_searches"":[""affordable daycare near me"",""head start programs"",""parenting resources""],""organization_name"":null,""requirements_keywords"":null}",,Childcare and family support resources,2026-02-02 18:56:54.290007+00
30,free or low cost child care,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Free or low-cost childcare resources"",""assistance_types"":[""Childcare""],""related_searches"":[""affordable daycare"",""head start programs"",""childcare financial assistance""],""organization_name"":null,""requirements_keywords"":[""low income"",""free""]}",,Free or low-cost childcare resources,2026-02-02 19:01:35.657499+00
31,affordable daycare,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Affordable childcare and low-income daycare options"",""assistance_types"":[""Childcare""],""related_searches"":[""free child care"",""head start programs"",""after school care""],""organization_name"":null,""requirements_keywords"":[""low income""]}",,Affordable childcare and low-income daycare options,2026-02-02 19:04:38.519318+00
32,help for sex worker,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Assistance resources for sex workers"",""assistance_types"":null,""related_searches"":[""job training"",""legal aid"",""support services"",""counseling resources""],""organization_name"":null,""requirements_keywords"":[""sex worker""]}",,Assistance resources for sex workers,2026-02-05 22:48:39.768778+00
33,support services,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""General community support services"",""assistance_types"":null,""related_searches"":[""rent assistance near me"",""food pantries open today"",""medical help for low income""],""organization_name"":null,""requirements_keywords"":null}",,General community support services,2026-02-05 22:48:58.4477+00
34,support services for sex worker,"{""city"":null,""days"":null,""county"":null,""max_miles"":null,""zip_codes"":null,""status_ids"":[1],""time_filter"":null,""neighborhood"":null,""interpretation"":""Support services for sex workers"",""assistance_types"":null,""related_searches"":[""legal aid for sex workers"",""health services for sex workers"",""job training programs""],""organization_name"":null,""requirements_keywords"":[""sex worker"",""sex work"",""trafficking""]}",,Support services for sex workers,2026-02-05 22:49:20.996027+00
35,health services for sex workers,"{""status_ids"":[1],""interpretation"":""Medical services focusing on health needs with discretion and respect"",""assistance_types"":[""Medical - Primary Care"",""Medical - Dental & Vision"",""Medical - Behavioral Health"",""Medical - Addiction Recovery"",""Medical - Program Enrollment""],""related_searches"":[""confidential health screenings"",""free medical clinics"",""HIV testing nearby"",""safe medical care""],""requirements_keywords"":[""no judgment"",""confidential""]}",,Medical services focusing on health needs with discretion and respect,2026-02-05 22:49:45.74115+00
